Item,Frequency,Pronunciation
chutney,0.45,CH AH T N IY
cicada,0.06,S IH K EY D AH
cider,1.9,S AY D AH R
cigar,12.94,S IH G AA R
cigarette,26.61,S IH G AH R EH T
cinch,3.57,S IH N CH
cinder,0.76,S IH N D AH R
cinema,3.88,S IH N AH M AH
cinematic,0.51,S IH N AH M AE T IH K
cipher,1.49,S AY F AH R
circa,0.69,S AH R K AH
circle,21.51,S AH R K AH L
circuit,6.67,S AH R K IH T
circuitous,0.04,S AH R K Y UW IH T IH S
circuitry,0.86,S AH R K IH T R IY
circular,1.59,S AH R K Y UH L AH R
circulate,0.92,S AH R K Y UH L EY T
circulation,3.63,S AH R K Y UH L EY SH IH N
circulatory,0.45,S AH R K Y UH L IH T OW R IY
circumcision,0.67,S AH R K AH M S IH ZH IH N
circumference,0.75,S AH R K AH M F AH R AH N S
circumspect,0.2,S AH R K AH M S P EH K T
circumspection,0.02,S AH R K AH M S P EH K SH IH N
circumstance,2.06,S AH R K AH M S T AE N S
circus,17.06,S AH R K IH S
cistern,0.22,S IH S T AH R N
citation,1.59,S AY T EY SH IH N
cite,0.94,S AY T
citizen,13.33,S IH T IH Z IH N
citizenry,0.37,S IH T IH Z AH N R IY
citizenship,1.33,S IH T IH Z AH N SH IH P
citron,0.02,S IH T R AH N
citrus,0.51,S IH T R IH S
city,169.1,S IH T IY
civic,2.16,S IH V IH K
civil,15.94,S IH V AH L
civilian,9.39,S AH V IH L Y AH N
civility,0.55,S AH V IH L IH T IY
civilization,8.33,S IH V AH L AH Z EY SH IH N
civilize,0.16,S IH V AH L AY Z
clad,0.2,K L AE D
cladding,0.02,K L AE D IH NG
claim,25.39,K L EY M
clairvoyance,0.2,K L AE R V OY AH N S
clairvoyant,0.71,K L AE R V OY AH N T
clam,3.92,K L AE M
clamber,0.04,K L AE M B AH R
clammy,0.59,K L AE M IY
clamor,0.14,K L AE M AH R
clamp,6.86,K L AE M P
clamshell,0.06,K L AE M SH EH L
clan,4.1,K L AE N
clandestine,0.88,K L AE N D EH S T IH N
clang,0.84,K L AE NG
clank,0.31,K L AE NG K
clannish,0.1,K L AE N IH SH
clap,4.73,K L AE P
clapping,2.04,K L AE P IH NG
claret,0.29,K L AE R AH T
clarification,0.59,K L AE R AH F AH K EY SH IH N
clarify,2.24,K L AE R AH F AY
clarinet,1.57,K L AE R AH N EH T
clarity,2.1,K L AE R AH T IY
clash,1.33,K L AE SH
clasp,1.02,K L AE S P
class,117.35,K L AE S
classic,16.16,K L AE S IH K
classical,4.39,K L AE S IH K AH L
classification,0.73,K L AE S AH F AH K EY SH IH N
classify,0.63,K L AE S AH F AY
classless,0.08,K L AE S L IH S
classmate,1.53,K L AE S M EY T
classroom,4.45,K L AE S R UW M
clatter,0.71,K L AE T AH R
clause,2.8,K L AO Z
claustrophobia,0.45,K L AO S T R AH F OW B IY AH
claw,4.37,K L AO
clay,12,K L EY
clean,121.24,K L IY N
cleaner,6.92,K L IY N AH R
cleaning,22.69,K L IY N IH NG
cleanse,1.45,K L EH N Z
cleansing,1.02,K L EH N Z IH NG
cleanup,1.96,K L IY N AH P
clear,171.82,K L IH R
clearance,6.86,K L IH R AH N S
clearer,2.71,K L IH R AH R
clearing,6.49,K L IH R IH NG
clearly,29.98,K L IH R L IY
clearness,0.06,K L IH R N IH S
cleat,0.43,K L IY T
cleavage,1.37,K L IY V IH JH
cleave,0.2,K L IY V
cleft,0.59,K L EH F T
clemency,0.92,K L EH M AH N S IY
clench,0.39,K L EH N CH
clergy,0.94,K L AH R JH IY
clergyman,0.33,K L AH R JH IY M AH N
cleric,1.33,K L EH R IH K
clerical,0.98,K L EH R IH K AH L
clerk,12.9,K L AH R K
clever,27.27,K L EH V AH R
cleverness,0.51,K L EH V AH R N AH S
cliche,0.8,K L IY SH EY
click,6.41,K L IH K
clicking,2.8,K L IH K IH NG
client,53.24,K L AY IH N T
clientele,1.57,K L AY IH N T EH L
cliff,21.57,K L IH F
climactic,0.22,K L AY M AE K T IH K
climate,3.53,K L AY M AH T
climax,1.94,K L AY M AE K S
climb,19.75,K L AY M
climbing,7.88,K L AY M IH NG
clime,0.12,K L AY M
clinch,0.67,K L IH N CH
clincher,0.33,K L IH N CH AH R
cling,2.51,K L IH NG
clinic,14,K L IH N IH K
clinical,2.92,K L IH N IH K AH L
clink,1.29,K L IH NG K
clip,5.69,K L IH P
clipping,1.16,K L IH P IH NG
clique,0.76,K L IY K
cloak,3,K L OW K
cloakroom,0.65,K L OW K R UW M
clobber,0.59,K L AA B AH R
clock,58.63,K L AA K
clocking,0.35,K L AA K IH NG
clockwork,1.14,K L AA K W AH R K
clod,0.41,K L AA D
clog,0.8,K L AA G
cloister,0.51,K L OY S T AH R
clonic,0.02,K L AA N IH K
close,219.43,K L OW S
closely,9.18,K L OW S L IY
closeness,0.71,K L OW S N IH S
closer,45.67,K L OW Z AH R
closest,8.96,K L OW S AH S T
closet,27.08,K L AA Z IH T
closeup,0.12,K L OW S AH P
closing,26.14,K L OW Z IH NG
closure,3.1,K L OW ZH AH R
clot,1.8,K L AA T
cloth,6.1,K L AO TH
clothe,0.82,K L OW DH
clothes,101.14,K L OW Z
clotheshorse,0.04,K L OW Z HH AO R S
clothesline,0.41,K L OW Z L AY N
clothier,0.04,K L OW DH Y AH R
clothing,10.84,K L OW DH IH NG
cloud,11.75,K L AW D
cloudburst,0.04,K L AW D B AH R S T
cloudless,0.16,K L AW D L IH S
cloudy,2.16,K L AW D IY
clout,0.94,K L AW T
clove,0.51,K L OW V
clover,1.31,K L OW V AH R
clown,15.82,K L AW N
clowning,1.49,K L AW N IH NG
cloy,0.04,K L OY
club,98.78,K L AH B
clubhouse,1.61,K L AH B HH AW S
cluck,1.43,K L AH K
clue,17.61,K L UW
clump,0.53,K L AH M P
clumsy,5.39,K L AH M Z IY
cluster,1.31,K L AH S T AH R
clustering,0.04,K L AH S T AH R IH NG
clutch,2.49,K L AH CH
clutter,0.94,K L AH T AH R
coach,47.63,K OW CH
coaching,3.29,K OW CH IH NG
coachman,0.59,K OW CH M AH N
coagulate,0.12,K OW AE G Y AH L EY T
coal,6.57,K OW L
coalesce,0.06,K OW AH L EH S
coalescence,0.04,K OW AH L EH S AH N S
coalition,1.8,K OW AH L IH SH IH N
coarse,1.35,K OW R S
coarseness,0.02,K OW R S N AH S
coast,26.69,K OW S T
coastal,0.84,K OW S T AH L
coastline,0.71,K OW S T L AY N
coat,42.08,K OW T
coating,0.45,K OW T IH NG
coattail,0.06,K OW T T EY L
coax,0.8,K OW K S
coaxial,0.14,K OW AE K S IY AH L
cobalt,0.59,K OW B AO L T
cobbler,2.33,K AA B L AH R
cobblestone,0.16,K AA B AH L S T OW N
cobra,3.33,K OW B R AH
cobweb,0.2,K AA B W EH B
cocaine,8.25,K OW K EY N
cock,11.37,K AA K
cockatoo,0.16,K AA K IH T UW
cockeyed,1.51,K AA K AY D
cockier,0.02,K AA K IY AH R
cockpit,3.22,K AA K P IH T
cockroach,3.41,K AA K R OW CH
cocktail,10.88,K AA K T EY L
cocky,4.12,K AA K IY
coco,4.22,K OW K OW
cocoa,5.02,K OW K OW
coconut,4.59,K OW K AH N AH T
cocoon,1.12,K AH K UW N
cod,2.24,K AA D
coddle,0.35,K AA D AH L
code,53.12,K OW D
codfish,0.41,K AA D F IH SH
codify,0.02,K AA D AH F AY
coed,0.59,K OW EH D
coefficient,0.16,K OW AH F IH SH IH N T
coerce,0.41,K OW AH R S
coercion,0.43,K OW AH R SH AH N
coercive,0.14,K OW AH R S IH V
coexist,0.49,K OW IH G Z IH S T
coexistence,0.2,K OW IH G Z IH S T AH N S
coffee,144.53,K AO F IY
coffeepot,0.41,K AO F IY P AA T
coffer,0.1,K AO F AH R
coffin,9.04,K AO F AH N
cog,0.53,K AA G
cognac,2.65,K OW N Y AE K
cognitive,0.67,K AA G N IH T IH V
cognizance,0.02,K AA G N IH Z IH N S
cognizant,0.22,K AA G N IH Z AH N T
coherence,0.18,K OW HH IH R AH N S
coherent,1.04,K OW HH IH R AH N T
cohesion,0.1,K OW HH IY ZH AH N
cohesive,0.14,K OW HH IY S IH V
cohort,0.2,K OW HH AO R T
coiffure,0.1,K W AA F Y UH R
coil,1.61,K OY L
coin,9.75,K OY N
coincide,0.78,K OW IH N S AY D
coincidence,18.59,K OW IH N S IH D IH N S
coincidental,0.82,K OW IH N S IH D EH N T AH L
coke,18.59,K OW K
cold,130.16,K OW L D
colder,2.49,K OW L D AH R
coldest,0.86,K OW L D AH S T
coldness,0.33,K OW L D N AH S
colicky,0.08,K AA L AH K IY
collaborate,0.61,K AH L AE B AH R EY T
collaboration,1.14,K AH L AE B AH R EY SH AH N
collaborator,0.63,K AH L AE B AH R EY T AH R
collage,0.73,K AH L AA ZH
collagen,0.76,K AA L AH JH AH N
collapse,5.55,K AH L AE P S
collapsible,0.25,K AH L AE P S AH B AH L
collar,10.51,K AA L AH R
collarbone,0.82,K AA L AH R B OW N
collate,0.31,K OW L EY T
collation,0.06,K AH L EY SH IH N
colleague,6.78,K AA L IY G
collect,20,K AH L EH K T
collectible,0.2,K AH L EH K T AH B AH L
collection,18.16,K AH L EH K SH AH N
collective,2.39,K AH L EH K T IH V
collector,4.31,K AH L EH K T AH R
college,85.18,K AA L IH JH
collegian,0.02,K AH L IY JH IH N
collegiate,0.49,K AH L IY JH IH T
collide,0.92,K AH L AY D
collie,1.04,K AA L IY
collision,2.69,K AH L IH ZH AH N
colloquial,0.06,K AH L OW K W IY AH L
colloquium,0.02,K AH L OW K W IY AH M
colloquy,0.02,K AA L AH K W IY
collusion,0.29,K AH L UW ZH IH N
colon,2.53,K OW L IH N
colonel,96.25,K AH R N AH L
colonial,2.06,K AH L OW N IY AH L
colonialism,0.33,K AH L OW N IY AH L IH Z AH M
colonialist,0.04,K AH L OW N IY AH L IH S T
colonist,0.06,K AA L AH N IH S T
colonize,0.25,K AA L AH N AY Z
colony,5.92,K AA L IH N IY
color,39.43,K AH L AH R
coloration,0.2,K AH L AH R EY SH IH N
coloratura,0.04,K AH L AH R IH T UH R AH
colored,7.39,K AH L AH R D
colorful,3.2,K AH L AH R F AH L
coloring,1.8,K AH L AH R IH NG
colorless,0.25,K AH L AH R L IH S
colossal,1.41,K AH L AA S AH L
colossus,0.24,K AH L AA S IH S
colt,5.24,K OW L T
coltish,0.02,K OW L T IH SH
columbine,1.18,K AA L AH M B AY N
column,10.96,K AA L AH M
columnist,1,K AA L AH M N IH S T
coma,12.27,K OW M AH
comb,6.06,K OW M
combat,13.84,K AA M B AE T
combatant,0.2,K AH M B AE T AH N T
combination,11.98,K AA M B IH N EY SH IH N
combine,2.22,K AH M B AY N
combo,2.45,K AA M B OW
combustible,0.35,K AH M B AH S T AH B AH L
combustion,1.25,K AH M B AH S CH AH N
come,3140.98,K AH M
comeback,3.33,K AH M B AE K
comedian,4.1,K AH M IY D IY AH N
comedy,11.8,K AA M AH D IY
comely,0.37,K AH M L IY
comer,0.37,K AH M AH R
comet,3.08,K AA M AH T
cometary,0.04,K AA M AH T EH R IY
comfort,17.22,K AH M F AH R T
comfortable,47.22,K AH M F AH R T AH B AH L
comic,10.82,K AA M IH K
coming,527.02,K AH M IH NG
comma,0.98,K AA M AH
command,43.63,K AH M AE N D
commandant,2.57,K AA M AH N D AE N T
commandeer,0.55,K AA M AH N D IH R
commander,37,K AH M AE N D AH R
commanding,6.9,K AH M AE N D IH NG
commandment,1.63,K AH M AE N D M AH N T
commando,1.06,K AH M AE N D OW
commemorate,0.92,K AH M EH M AH R EY T
commence,4.61,K AH M EH N S
commencement,0.29,K AH M EH N S M AH N T
commend,1.78,K AH M EH N D
commendable,0.86,K AH M EH N D AH B AH L
commendation,0.9,K AA M AH N D EY SH IH N
commensurate,0.16,K AH M EH N S AH R IH T
comment,12.82,K AA M EH N T
commentary,1.49,K AA M IH N T EH R IY
commentator,2.73,K AA M AH N T EY T AH R
commerce,3.47,K AA M AH R S
commercial,16.25,K AH M AH R SH AH L
commercialism,0.18,K AH M AH R SH AH L IH Z AH M
commercialization,0.08,K AH M AH R SH AH L IH Z EY SH AH N
commingle,0.04,K AH M IH NG G AH L
commiserate,0.18,K AH M IH Z AH R EY T
commissary,0.57,K AA M AH S EH R IY
commission,13.78,K AH M IH SH IH N
commissioner,12.24,K AH M IH SH AH N AH R
commit,19.29,K AH M IH T
commitment,10.78,K AH M IH T M AH N T
committee,22.02,K AH M IH T IY
committeewoman,0.04,K AH M IH T IY W UH M AH N
commodity,1.65,K AH M AA D IH T IY
commodore,3.61,K AA M AH D OW R
common,44.61,K AA M AH N
commoner,0.71,K AA M AH N AH R
commonest,0.06,K AA M AH N AH S T
commonplace,0.78,K AA M AH N P L EY S
commonwealth,6.67,K AA M AH N W EH L TH
commotion,2.08,K AH M OW SH IH N
communal,0.65,K AH M Y UW N AH L
commune,1.31,K AA M Y UW N
communicate,8.51,K AH M Y UW N IH K EY T
communicating,2.37,K AH M Y UW N AH K EY T IH NG
communication,10.35,K AH M Y UW N AH K EY SH AH N
communicational,0.02,K AH M Y UW N AH K EY SH AH N AH L
communicative,0.12,K AH M Y UW N AH K EY T IH V
communicator,0.71,K AH M Y UW N AH K EY T AH R
communion,2.08,K AH M Y UW N Y AH N
communique,0.16,K AH M Y UW N AH K EY
communism,2.1,K AA M Y UW N IH Z AH M
communist,7.57,K AA M Y AH N IH S T
communistic,0.08,K AA M Y UW N IH S T IH K
community,29.14,K AH M Y UW N IH T IY
commutation,0.04,K AA M Y UW T EY SH IH N
commute,0.88,K AH M Y UW T
commuter,0.59,K AH M Y UW T AH R
compact,1.69,K AA M P AE K T
compagnie,0.04,K AH M P AH N IY
companion,6.33,K AH M P AE N Y AH N
companionable,0.08,K AH M P AE N Y AH N AH B AH L
companionship,1.88,K AH M P AE N Y AH N SH IH P
companionway,0.08,K AH M P AE N Y AH N W EY
company,147.2,K AH M P AH N IY
comparable,0.47,K AA M P AH R AH B AH L
comparative,0.8,K AH M P AE R AH T IH V
comparatively,0.39,K AH M P AE R AH T IH V L IY
compare,8.35,K AH M P AE R
comparison,3.67,K AH M P AE R IH S AH N
compartment,5.96,K AH M P AA R T M AH N T
compass,4.06,K AH M P AH S
compassion,6.25,K AH M P AE SH IH N
compassionate,1.78,K AH M P AE SH AH N AH T
compatibility,0.45,K AH M P AE T AH B IH L AH T IY
compatible,2.35,K AH M P AE T AH B AH L
compatriot,0.08,K AH M P EY T R IY AH T
compel,1.02,K AH M P EH L
compelling,1.9,K AH M P EH L IH NG
compendium,0.24,K AH M P EH N D IY AH M
compensate,2.43,K AA M P AH N S EY T
compensation,2.14,K AA M P AH N S EY SH IH N
compensatory,0.22,K AH M P EH N S AH T OW R IY
compete,8.47,K AH M P IY T
competence,0.88,K AA M P AH T IH N S
competency,0.24,K AA M P IH T AH N S IY
competent,2.43,K AA M P IH T AH N T
competition,20.9,K AA M P AH T IH SH IH N
competitive,4.2,K AH M P EH T IH T IH V
competitor,1.37,K AH M P EH T IH T AH R
compilation,0.27,K AA M P AH L EY SH IH N
compile,0.53,K AH M P AY L
compiler,0.14,K AH M P AY L AH R
complacency,0.27,K AH M P L EY S AH N S IY
complacent,0.43,K AH M P L EY S AH N T
complain,12.55,K AH M P L EY N
complainant,0.31,K AH M P L EY N AH N T
complaint,10.16,K AH M P L EY N T
complement,0.76,K AA M P L AH M AH N T
complementary,0.25,K AA M P L AH M EH N T AH R IY
complete,51.69,K AH M P L IY T
completely,84.37,K AH M P L IY T L IY
completeness,0.14,K AH M P L IY T N EH S
completion,1.55,K AH M P L IY SH AH N
complex,13.12,K AH M P L EH K S
complexion,1.92,K AH M P L EH K SH IH N
complexity,0.8,K AH M P L EH K S IH T IY
compliance,0.98,K AH M P L AY IH N S
complicate,1.47,K AA M P L AH K EY T
complication,1.39,K AA M P L AH K EY SH IH N
complicity,0.41,K AH M P L IH S IH T IY
compliment,10.25,K AA M P L AH M AH N T
complimentary,1.88,K AA M P L AH M EH N T AH R IY
comply,2.31,K AH M P L AY
component,1.59,K AH M P OW N IH N T
comport,0.12,K AH M P OW R T
comportment,0.04,K AH M P OW R T M AH N T
compose,1.57,K AH M P OW Z
composer,2.49,K AH M P OW Z AH R
composing,0.94,K AH M P OW Z IH NG
composite,1.25,K AH M P AA Z IH T
composition,2.43,K AA M P AH Z IH SH IH N
compositional,0.02,K AA M P AH Z IH SH AH N AH L
compost,0.55,K AA M P OW S T
composure,0.29,K AH M P OW ZH AH R
compote,0.1,K AA M P OW T
compound,7.08,K AA M P AW N D
comprehend,1.84,K AA M P R IH HH EH N D
comprehension,1.08,K AA M P R IH HH EH N SH AH N
comprehensive,1.14,K AA M P R IH HH EH N S IH V
compress,0.61,K AA M P R EH S
compression,1.24,K AH M P R EH SH AH N
compressor,0.49,K AH M P R EH S AH R
comprise,0.18,K AH M P R AY Z
compromise,7.02,K AA M P R AH M AY Z
compromising,1.47,K AA M P R AH M AY Z IH NG
comptroller,0.06,K AA M P T R OW L AH R
compulsion,1.24,K AH M P AH L SH IH N
compulsive,1.92,K AH M P AH L S IH V
compulsory,0.73,K AH M P AH L S AH R IY
computation,0.08,K AA M P Y UH T EY SH IH N
computational,0.02,K AA M P Y UW T EY SH AH N AH L
compute,0.71,K AH M P Y UW T
computer,59.04,K AH M P Y UW T AH R
comrade,8.55,K AA M R AE D
comradeship,0.16,K AA M R AE D SH IH P
con,12.63,K AA N
concave,0.18,K AA N K EY V
conceal,2.53,K AH N S IY L
concealment,0.51,K AH N S IY L M AH N T
concede,1.04,K AH N S IY D
conceit,0.47,K AH N S IY T
conceivable,1.2,K AH N S IY V AH B AH L
conceive,2.29,K AH N S IY V
concentrate,15.65,K AA N S IH N T R EY T
concentration,5.53,K AA N S IH N T R EY SH IH N
concentric,0.27,K AH N S EH N T R IH K
concept,10.84,K AA N S EH P T
conception,2.08,K AH N S EH P SH IH N
conceptual,0.24,K AH N S EH P CH UW AH L
concern,26.12,K AH N S AH R N
concerning,4.9,K AH N S AH R N IH NG
concert,17.55,K AA N S AH R T
concerted,0.06,K AH N S AH R T IH D
concertina,0.14,K AA N S AH R T IY N AH
concerto,0.94,K AH N CH EH R T OW
concession,1.35,K AH N S EH SH IH N
concierge,1.43,K AA N S IY AE R ZH
conciliatory,0.06,K AH N S IH L IY AH T OW R IY
concise,0.43,K AH N S AY S
conclave,0.04,K AA N K L EY V
conclude,2.49,K AH N K L UW D
conclusion,9.12,K AH N K L UW ZH IH N
conclusive,1.2,K AH N K L UW S IH V
concoct,0.27,K AH N K AA K T
concrete,7.43,K AA N K R IY T
concur,1.2,K AH N K AH R
concurrence,0.04,K AH N K AH R AH N S
concurrent,0.22,K AH N K AH R AH N T
concussion,4.49,K AH N K AH SH IH N
condemn,2.37,K AH N D EH M
condemnation,0.47,K AA N D EH M N EY SH IH N
condensation,0.33,K AA N D EH N S EY SH IH N
condense,0.27,K AH N D EH N S
condenser,0.14,K AH N D EH N S AH R
condescend,0.31,K AA N D IH S EH N D
condescension,0.18,K AA N D IH S EH N SH AH N
condiment,0.16,K AA N D AH M AH N T
condition,37.96,K AH N D IH SH IH N
conditional,0.31,K AH N D IH SH AH N AH L
conditioner,2.16,K AH N D IH SH AH N AH R
conditioning,3.84,K AH N D IH SH AH N IH NG
condolence,0.33,K AH N D OW L IH N S
condone,1.16,K AH N D OW N
conducive,0.45,K AH N D UW S IH V
conduct,11.1,K AA N D AH K T
conduction,0.12,K AH N D AH K SH AH N
conductivity,0.06,K AA N D AH K T IH V AH T IY
conductor,3.04,K AH N D AH K T AH R
conduit,1.04,K AA N D UW IH T
cone,2.92,K OW N
confabulation,0.1,K AH N F AE B Y UH L EY SH IH N
confederacy,0.49,K AH N F EH D AH R AH S IY
confederate,1.86,K AH N F EH D AH R IH T
confederation,0.27,K AH N F EH D AH R EY SH AH N
confer,1.29,K AH N F AH R
conference,25.41,K AA N F AH R AH N S
confess,15.84,K AH N F EH S
confession,16.49,K AH N F EH SH AH N
confessional,1.29,K AH N F EH SH AH N AH L
confessor,0.24,K AH N F EH S AH R
confidant,0.61,K AA N F AH D AE N T
confidante,0.45,K AA N F IH D AE N T
confide,1.9,K AH N F AY D
confidence,19.47,K AA N F IH D IH N S
confident,10.65,K AA N F IH D AH N T
confidential,6.71,K AA N F IH D EH N CH AH L
confidentiality,1.86,K AA N F AH D EH N CH IY AE L AH T IY
configuration,0.94,K AH N F IH G Y AH R EY SH IH N
confine,0.98,K AH N F AY N
confinement,0.78,K AH N F AY N M AH N T
confirm,14.43,K AH N F AH R M
confirmation,5.49,K AA N F AH R M EY SH IH N
confiscate,0.98,K AA N F AH S K EY T
conflagration,0.1,K AA N F L AH G R EY SH IH N
conflict,8.71,K AA N F L IH K T
confluent,0.02,K AA N F L UW AH N T
conform,0.86,K AH N F AO R M
conformance,0.02,K AH N F AO R M AH N S
conformation,0.1,K AA N F AH R M EY SH IH N
conformational,0.02,K AA N F AH R M EY SH AH N AH L
conformist,0.12,K AH N F AO R M IH S T
conformity,0.37,K AH N F AO R M AH T IY
confound,1.16,K AH N F AW N D
confrere,0.02,K AA N F R EH R
confront,4.27,K AH N F R AH N T
confrontation,1.92,K AA N F R AH N T EY SH AH N
confuse,4.76,K AH N F Y UW Z
confusing,9.84,K AH N F Y UW Z IH NG
confusion,7.12,K AH N F Y UW ZH AH N
congeal,0.1,K AH N JH IY L
congenial,0.22,K AH N JH IY N Y AH L
congeniality,0.49,K AH N JH IY N IY AE L IH T IY
congenital,0.55,K AH N JH EH N IH T AH L
congest,0.02,K AH N JH EH S T
congestion,0.47,K AH N JH EH S CH AH N
congestive,0.27,K AH N JH EH S T IH V
congratulate,7.02,K AH N G R AE CH AH L EY T
congratulation,0.49,K AH N G R AE CH AH L EY SH AH N
congratulatory,0.1,K AH N G R AE CH AH L AH T OW R IY
congregate,0.35,K AA NG G R IH G EY T
congregation,2.29,K AA NG G R IH G EY SH IH N
congress,8.22,K AA NG G R IH S
congressional,2.06,K AH N G R EH SH AH N AH L
congressman,6.37,K AA NG G R IH S M AH N
congresswoman,0.31,K AA NG G R IH S W UH M AH N
congruent,0.18,K AA NG G R UW AH N T
conic,0.06,K AA N IH K
conjecture,0.82,K AH N JH EH K CH AH R
conjugal,0.78,K AA N JH IH G AH L
conjugate,0.2,K AA N JH IH G IH T
conjugation,0.02,K AA N JH IH G EY SH IH N
conjunction,1.29,K AH N JH AH NG K SH IH N
conjure,1.25,K AA N JH AH R
connect,9.65,K AH N EH K T
connection,27.18,K AH N EH K SH AH N
connective,0.04,K AH N EH K T IH V
connivance,0.02,K AH N AY V AH N S
conniver,0.08,K AH N AY V AH R
connoisseur,0.61,K AA N IH S AH R
connotation,0.27,K AA N IH T EY SH IH N
connote,0.04,K AH N OW T
conquer,4.98,K AA NG K AH R
conqueror,1.12,K AA NG K AH R AH R
conquest,1.88,K AA N K W EH S T
conscience,13.9,K AA N CH IH N S
conscientious,1.22,K AA N CH IY EH N CH IH S
conscious,6.8,K AA N CH IH S
consciousness,8.1,K AA N SH AH S N IH S
conscript,0.06,K AA N S K R IH P T
conscription,0.18,K AH N S K R IH P SH IH N
consecration,0.04,K AA N S IH K R EY SH IH N
consecutive,1.63,K AH N S EH K Y UW T IH V
consensus,1.63,K AH N S EH N S IH S
consent,7.43,K AH N S EH N T
consequence,3.14,K AA N S IH K W EH N S
consequent,0.1,K AA N S AH K W EH N T
consequential,0.04,K AA N S IH K W EH N CH AH L
conservation,0.63,K AA N S AH R V EY SH IH N
conservationist,0.06,K AA N S AH R V EY SH AH N IH S T
conservatism,0.02,K AH N S AH R V AH T IH Z AH M
conservative,3.76,K AH N S AH R V AH T IH V
conservatory,1.35,K AH N S AH R V AH T OW R IY
conserve,0.86,K AH N S AH R V
consider,52.47,K AH N S IH D AH R
considerable,4.53,K AH N S IH D AH R AH B AH L
considerably,1.63,K AH N S IH D AH R AH B L IY
considerate,3.43,K AH N S IH D AH R IH T
consideration,6.55,K AH N S IH D AH R EY SH AH N
considering,19.08,K AH N S IH D AH R IH NG
consign,0.2,K AH N S AY N
consist,0.43,K AH N S IH S T
consistence,0.02,K AH N S IH S T AH N S
consistency,0.76,K AH N S IH S T AH N S IY
consistent,5.75,K AH N S IH S T AH N T
consistently,0.86,K AH N S IH S T AH N T L IY
consisting,0.35,K AH N S IH S T IH NG
consolation,3.65,K AA N S AH L EY SH IH N
console,2.24,K AA N S OW L
consolidate,0.45,K AH N S AA L AH D EY T
consolidation,0.2,K AH N S AA L IH D EY SH AH N
consonant,0.2,K AA N S AH N AH N T
consort,0.63,K AA N S AO R T
conspicuous,1.47,K AH N S P IH K Y UW AH S
conspicuously,0.06,K AH N S P IH K Y UW AH S L IY
conspiracy,10.31,K AH N S P IH R IH S IY
conspirator,0.22,K AH N S P IH R AH T AH R
conspiratorial,0.12,K AH N S P IH R AH T AO R IY AH L
conspire,0.61,K AH N S P AY R
constable,2.82,K AA N S T AH B AH L
constancy,0.2,K AA N S T IH N S IY
constant,9.92,K AA N S T AH N T
constellation,0.94,K AA N S T IH L EY SH IH N
consternation,0.14,K AA N S T AH R N EY SH IH N
constituency,0.43,K AH N S T IH CH UW AH N S IY
constituent,0.12,K AH N S T IH CH UW AH N T
constitute,0.84,K AA N S T IH T UW T
constitution,5.53,K AA N S T IH T UW SH IH N
constitutional,2.2,K AA N S T IH T UW SH AH N AH L
constrain,0.04,K AH N S T R EY N
constraint,0.04,K AH N S T R EY N T
constrict,0.06,K AH N S T R IH K T
constricting,0.12,K AH N S T R IH K T IH NG
constriction,0.06,K AH N S T R IH K SH AH N
constrictor,0.24,K AH N S T R IH K T AH R
construct,1.45,K AH N S T R AH K T
construction,13.84,K AH N S T R AH K SH IH N
constructive,2.18,K AH N S T R AH K T IH V
construe,0.29,K AH N S T R UW
consul,3.61,K AA N S AH L
consular,0.41,K AA N S AH L AH R
consulate,4.88,K AA N S AH L IH T
consult,5.59,K AH N S AH L T
consultant,3.67,K AH N S AH L T AH N T
consultation,1.25,K AA N S AH L T EY SH IH N
consume,2.06,K AH N S UW M
consumer,2.08,K AH N S UW M AH R
consummate,0.98,K AA N S AH M EY T
consummation,0.2,K AA N S AH M EY SH IH N
consumption,1.84,K AH N S AH M P SH IH N
consumptive,0.02,K AH N S AH M P T IH V
contact,64.8,K AA N T AE K T
contagion,0.41,K AH N T EY JH IH N
contagious,3.33,K AH N T EY JH AH S
contain,6.08,K AH N T EY N
container,4.29,K AH N T EY N AH R
containment,2.1,K AH N T EY N M AH N T
contaminate,0.71,K AH N T AE M AH N EY T
contamination,1.18,K AH N T AE M AH N EY SH AH N
contemplate,1.24,K AA N T AH M P L EY T
contemplation,0.24,K AA N T AH M P L EY SH IH N
contemplative,0.1,K AH N T EH M P L IH T IH V
contemporary,1.94,K AH N T EH M P AH R EH R IY
contempt,5.02,K AH N T EH M P T
contemptible,0.78,K AH N T EH M P T AH B AH L
contemptuous,0.24,K AH N T EH M P CH UW AH S
contend,0.94,K AH N T EH N D
contender,0.96,K AH N T EH N D AH R
content,7.63,K AH N T EH N T
contention,0.8,K AH N T EH N CH IH N
